                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.88432,                0.43106,                 1.1563,                0.97315,                0.96132,                0.98566,                0.77908,                0.95763,                0.37582,                 1.1718,               0.007327,               0.007327,               0.007327
                     56,                0.86791,                0.43018,                 1.1486,                0.97615,                0.94842,                0.98211,                0.76902,                0.94879,                0.38032,                 1.1767,              0.0072775,              0.0072775,              0.0072775
                     57,                0.87771,                0.43542,                 1.1433,                0.97084,                0.95415,                0.98296,                0.77362,                0.95322,                0.38962,                 1.1671,               0.007228,               0.007228,               0.007228
                     58,                0.88199,                 0.4304,                 1.1443,                0.95517,                0.97738,                 0.9878,                0.77979,                0.95941,                0.37772,                 1.1696,              0.0071785,              0.0071785,              0.0071785
                     59,                0.87243,                0.43027,                  1.149,                0.97558,                0.95266,                0.98359,                0.77773,                0.96031,                0.38511,                 1.1681,               0.007129,               0.007129,               0.007129
                     60,                0.87273,                0.42788,                 1.1468,                0.96234,                0.96684,                 0.9824,                0.77869,                0.95959,                0.38492,                  1.185,              0.0070795,              0.0070795,              0.0070795
                     61,                 0.8593,                 0.4168,                 1.1385,                0.97269,                0.95415,                0.98534,                0.77694,                0.96348,                0.38101,                 1.1721,                0.00703,                0.00703,                0.00703
                     62,                0.86103,                0.41548,                 1.1292,                 0.9701,                0.95736,                0.98122,                0.77901,                  0.959,                0.38536,                 1.1708,              0.0069805,              0.0069805,              0.0069805
                     63,                0.86726,                0.41843,                  1.135,                  0.968,                0.96132,                0.98598,                0.77884,                0.95495,                0.37024,                 1.1515,               0.006931,               0.006931,               0.006931
                     64,                0.85383,                0.41064,                 1.1362,                0.96494,                0.96221,                 0.9799,                0.77172,                0.96127,                0.38484,                 1.2024,              0.0068815,              0.0068815,              0.0068815
                     65,                0.86342,                0.41655,                 1.1427,                0.96953,                0.94986,                0.97973,                0.76951,                0.95478,                0.37444,                 1.1784,               0.006832,               0.006832,               0.006832
                     66,                0.84895,                0.41365,                  1.145,                0.97039,                0.95488,                0.98383,                 0.7827,                0.95576,                0.36637,                 1.1971,              0.0067825,              0.0067825,              0.0067825
                     67,                0.84105,                 0.4097,                 1.1311,                0.96237,                0.96132,                0.97862,                 0.7778,                0.95935,                0.38275,                 1.1872,               0.006733,               0.006733,               0.006733
                     68,                0.83784,                0.40946,                  1.122,                0.95905,                0.96848,                0.98259,                0.77761,                0.95877,                0.37315,                  1.184,              0.0066835,              0.0066835,              0.0066835
                     69,                0.85015,                0.40941,                 1.1329,                0.96674,                0.96275,                0.98445,                0.77819,                0.97043,                0.37827,                 1.1933,               0.006634,               0.006634,               0.006634
                     70,                0.83526,                 0.4055,                 1.1256,                0.95869,                0.96705,                0.98345,                0.78085,                0.95602,                0.36636,                 1.1905,              0.0065845,              0.0065845,              0.0065845
                     71,                0.83802,                0.40356,                  1.124,                0.96803,                0.95845,                0.98224,                 0.7821,                0.97023,                0.37036,                 1.2019,               0.006535,               0.006535,               0.006535
                     72,                0.84085,                0.40014,                 1.1192,                0.96777,                0.95702,                0.97825,                 0.7717,                0.97776,                0.38343,                 1.2082,              0.0064855,              0.0064855,              0.0064855
                     73,                0.84218,                0.39725,                 1.1291,                0.97467,                0.95989,                0.98243,                 0.7819,                 0.9623,                0.36749,                 1.1952,               0.006436,               0.006436,               0.006436
                     74,                0.83174,                0.39489,                 1.1209,                0.96854,                0.96275,                0.98327,                0.77627,                0.96882,                0.36838,                 1.1913,              0.0063865,              0.0063865,              0.0063865
                     75,                0.82678,                0.39672,                 1.1131,                0.97282,                0.96418,                0.98485,                0.78358,                0.95337,                0.35692,                 1.1641,               0.006337,               0.006337,               0.006337
                     76,                0.81798,                0.38773,                 1.1098,                0.96089,                0.97405,                 0.9836,                0.78418,                0.95525,                0.36416,                 1.1585,              0.0062875,              0.0062875,              0.0062875
                     77,                0.83368,                0.39474,                 1.1054,                0.94422,                0.97039,                0.97913,                0.77608,                0.95952,                 0.3798,                 1.1344,               0.006238,               0.006238,               0.006238
                     78,                0.81769,                0.39285,                 1.0951,                0.95698,                0.97424,                0.98261,                0.77908,                0.96113,                0.37107,                 1.1758,              0.0061885,              0.0061885,              0.0061885
                     79,                0.82547,                0.39229,                   1.12,                0.95016,                0.97708,                0.97949,                0.78035,                0.94706,                0.37057,                 1.1815,               0.006139,               0.006139,               0.006139
                     80,                0.81678,                0.38808,                 1.1111,                0.95793,                0.97512,                0.98443,                0.78566,                0.95678,                0.36686,                 1.1886,              0.0060895,              0.0060895,              0.0060895
